Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,service_mean,satisfaction
Female,Loyal Customer,50,Personal Travel,Eco,6.922643891475888,3,4,3,4,2,4,3,2,2,3,3,1,2,3,2.5649493574615367,1.6094379124341003,2.5833333333333335,0
Female,Loyal Customer,65,Personal Travel,Eco,6.152732694704104,1,5,1,1,4,4,4,4,4,1,3,4,4,5,0.0,0.0,3.25,0
Male,Loyal Customer,47,Personal Travel,Eco,6.579251212010101,1,5,2,1,2,2,2,2,3,3,4,4,5,2,3.1780538303479458,2.5649493574615367,2.6666666666666665,0
Female,Loyal Customer,55,Personal Travel,Eco Plus,6.3835066348840055,2,4,2,2,2,5,4,3,3,2,4,4,3,4,0.0,0.0,3.1666666666666665,0
Female,Loyal Customer,9,Personal Travel,Eco Plus,6.104793232414985,2,2,2,3,2,2,2,2,3,2,3,1,4,2,2.6390573296152584,1.6094379124341003,2.25,0
Male,Loyal Customer,37,Business travel,Eco Plus,4.948759890378168,4,2,2,2,4,4,4,4,4,3,3,4,4,4,0.0,0.0,3.6666666666666665,0
Male,disloyal Customer,27,Business travel,Business,7.138073034044347,5,5,5,4,1,5,1,1,5,4,5,3,4,1,0.0,0.0,3.3333333333333335,1
Female,Loyal Customer,54,Business travel,Business,8.094988759303774,3,3,5,3,5,5,5,4,4,5,4,5,4,5,0.0,0.0,4.5,1
Male,disloyal Customer,25,Business travel,Business,5.883322388488279,5,0,5,2,4,5,4,4,5,2,4,4,5,4,0.0,0.0,4.25,1
Male,Loyal Customer,22,Business travel,Eco,5.91350300563827,3,1,1,1,3,3,1,3,3,1,3,3,3,3,0.0,0.0,2.5,0
Male,Loyal Customer,55,Business travel,Business,8.140898460607852,0,4,0,5,3,5,4,5,5,5,5,4,5,4,0.0,0.0,3.75,1
Female,Loyal Customer,20,Business travel,Business,7.431299675155903,1,0,0,3,1,0,1,1,1,1,3,4,4,1,0.0,0.0,1.5,0
Female,Loyal Customer,20,Personal Travel,Eco,5.857933154483459,3,5,3,3,1,3,1,1,4,2,5,3,5,1,0.0,0.0,2.6666666666666665,0
Female,Loyal Customer,55,Personal Travel,Business,6.898714534329988,4,4,4,2,4,4,4,4,4,4,4,4,4,5,0.0,0.6931471805599453,4.083333333333333,0
Male,Loyal Customer,48,Business travel,Business,8.1797604936999,5,5,5,5,4,4,5,4,4,5,4,4,4,4,0.0,0.0,4.333333333333333,1
Female,Loyal Customer,32,Business travel,Business,7.757906208351747,1,1,5,1,4,5,4,4,5,5,4,5,4,4,2.5649493574615367,0.6931471805599453,4.166666666666667,1
Male,Loyal Customer,40,Personal Travel,Eco,7.354362330421477,3,1,3,4,3,3,3,3,3,3,4,3,4,3,0.0,0.0,3.1666666666666665,0
Female,Loyal Customer,44,Business travel,Business,6.380122536899765,2,2,2,2,4,4,5,4,4,4,4,3,4,3,3.1354942159291497,3.871201010907891,3.5833333333333335,1
Female,disloyal Customer,25,Business travel,Business,6.380122536899765,0,0,0,4,1,0,1,1,3,4,4,5,5,1,1.0986122886681098,0.0,2.0833333333333335,1
Male,Loyal Customer,21,Business travel,Eco Plus,4.624972813284271,2,4,2,4,2,2,3,2,2,5,3,4,4,2,0.0,0.0,2.75,0
Female,Loyal Customer,61,Personal Travel,Business,7.814399633804487,4,0,4,3,4,4,1,5,3,5,4,1,5,1,5.056245805348308,5.030437921392435,3.4166666666666665,0
Male,disloyal Customer,10,Business travel,Eco,6.311734809152915,4,0,4,1,3,4,3,3,2,2,4,4,3,3,0.0,0.0,3.25,1
Male,Loyal Customer,46,Business travel,Business,7.779048644925556,5,5,5,5,5,4,4,4,4,4,4,3,4,3,0.0,1.791759469228055,4.083333333333333,1
Female,disloyal Customer,25,Business travel,Eco,5.726847747587197,3,2,3,4,1,3,1,1,2,5,4,3,4,1,3.8918202981106265,3.970291913552122,2.5833333333333335,0
Female,Loyal Customer,53,Personal Travel,Eco,6.304448802421981,2,1,2,2,4,1,1,1,1,2,1,3,1,2,3.295836866004329,3.295836866004329,1.75,0
Female,Loyal Customer,43,Business travel,Business,6.359573868672378,4,4,4,4,4,5,4,2,2,2,2,5,2,5,0.6931471805599453,0.0,3.4166666666666665,1
Female,Loyal Customer,42,Business travel,Business,7.814399633804487,2,2,2,2,4,4,5,5,5,5,5,3,5,5,0.0,0.0,4.166666666666667,1
Male,Loyal Customer,38,Business travel,Eco,7.175489713624222,3,1,2,1,3,3,3,3,4,2,2,1,2,3,0.0,3.4965075614664802,2.5833333333333335,0
Female,disloyal Customer,25,Business travel,Eco,6.917705609835305,2,2,2,3,1,2,1,1,1,3,3,3,3,1,2.70805020110221,3.295836866004329,1.9166666666666667,0
Female,disloyal Customer,26,Business travel,Business,5.823045895483019,4,3,4,3,3,4,3,3,4,3,5,5,4,3,2.302585092994046,1.6094379124341003,3.75,1
Male,Loyal Customer,59,Business travel,Eco,5.484796933490655,1,3,3,3,1,1,1,1,1,3,1,3,2,1,0.0,0.0,1.5833333333333333,0
Male,Loyal Customer,31,Personal Travel,Eco,4.219507705176107,2,5,2,5,4,2,4,4,3,5,5,4,4,4,0.0,2.8903717578961645,3.5833333333333335,0
Female,Loyal Customer,31,Personal Travel,Eco,6.159095388491933,1,0,1,5,1,1,1,1,5,3,5,3,5,1,2.5649493574615367,3.091042453358316,2.3333333333333335,0
Female,Loyal Customer,20,Personal Travel,Eco Plus,6.280395838960195,3,4,3,2,5,3,1,5,5,3,4,3,5,5,3.7612001156935624,3.2188758248682006,3.75,0
Male,Loyal Customer,18,Personal Travel,Eco,5.37989735354046,5,0,5,4,3,5,2,3,5,2,4,1,4,3,0.0,0.0,3.5,1
Male,Loyal Customer,30,Business travel,Business,6.1070228877422545,3,3,3,3,4,4,4,4,1,1,4,1,2,4,0.0,1.791759469228055,2.9166666666666665,1
Male,Loyal Customer,48,Business travel,Business,7.830822995135316,2,2,2,2,1,4,3,5,5,5,5,5,5,5,0.0,0.0,3.9166666666666665,1
Female,Loyal Customer,39,Business travel,Business,6.776506992372183,4,4,1,4,4,4,4,4,4,4,4,3,4,4,0.0,0.0,3.6666666666666665,1
Female,disloyal Customer,27,Business travel,Business,6.461468176353717,5,5,5,3,3,5,3,3,5,4,5,5,4,3,2.3978952727983707,0.0,4.166666666666667,1
Male,Loyal Customer,72,Business travel,Eco Plus,7.094234845924755,2,4,4,4,2,2,2,2,2,1,3,1,3,2,4.02535169073515,3.5553480614894135,2.1666666666666665,0
Female,Loyal Customer,23,Business travel,Business,6.637258031284457,4,1,1,1,4,4,4,4,2,4,3,4,3,4,0.0,2.6390573296152584,3.4166666666666665,0
Female,Loyal Customer,53,Business travel,Business,8.041091003708633,2,2,2,2,2,4,4,3,3,3,3,5,3,5,2.1972245773362196,2.772588722239781,3.25,1
Male,Loyal Customer,13,Personal Travel,Eco,7.4673710669175595,2,3,2,1,3,2,3,3,5,4,2,3,3,3,2.302585092994046,0.0,2.9166666666666665,0
Female,Loyal Customer,47,Business travel,Business,7.666221925662725,1,1,1,1,5,5,5,5,5,5,5,3,5,5,1.6094379124341003,0.0,4.166666666666667,1
Female,disloyal Customer,33,Business travel,Business,5.25227342804663,1,0,0,4,3,0,3,3,3,2,4,3,5,3,0.0,0.0,2.5,0
Male,Loyal Customer,51,Business travel,Business,7.585788821732034,2,2,2,2,3,3,5,5,5,5,5,3,5,5,0.0,0.6931471805599453,4.0,1
Female,Loyal Customer,10,Personal Travel,Eco,6.618738983517219,5,4,4,2,5,4,5,5,3,3,4,3,4,5,0.0,0.0,4.166666666666667,1
Male,Loyal Customer,63,Personal Travel,Eco,6.1779441140506,1,4,3,1,5,3,5,5,4,5,1,2,1,5,0.0,1.791759469228055,3.3333333333333335,0
Male,Loyal Customer,37,Personal Travel,Eco,7.090076835776092,2,2,1,3,4,1,4,4,1,3,4,2,3,4,1.0986122886681098,0.0,2.75,0
Male,Loyal Customer,13,Personal Travel,Eco,5.638354669333745,1,5,5,1,5,5,4,5,3,5,5,3,4,5,0.0,0.0,4.166666666666667,0
Female,Loyal Customer,60,Business travel,Business,6.759255270663693,5,5,5,5,2,5,5,5,5,4,5,4,5,3,3.044522437723423,0.0,4.416666666666667,1
Female,disloyal Customer,33,Business travel,Eco,6.003887067106539,4,1,4,3,3,4,3,3,4,5,4,3,3,3,0.0,0.0,3.5833333333333335,0
Female,Loyal Customer,44,Personal Travel,Eco,7.01211529430638,3,4,3,4,4,5,5,1,1,3,1,5,1,3,0.0,3.4657359027997265,2.9166666666666665,0
Male,Loyal Customer,57,Business travel,Business,6.008813185442595,4,4,4,4,2,4,4,4,4,4,4,5,4,5,0.6931471805599453,0.0,4.0,1
Female,Loyal Customer,57,Business travel,Business,7.730174795246222,2,2,4,2,4,5,4,4,4,4,4,5,4,5,0.0,0.0,4.083333333333333,1
Female,Loyal Customer,31,Business travel,Business,6.408528791059498,3,5,3,3,5,5,5,5,3,3,5,3,4,5,0.6931471805599453,0.0,4.083333333333333,1
Female,Loyal Customer,69,Personal Travel,Eco,7.752764808851328,0,5,0,3,5,4,4,5,5,0,5,2,5,3,2.302585092994046,0.0,3.1666666666666665,1
Male,Loyal Customer,21,Personal Travel,Eco,6.021023349349527,1,4,3,3,4,3,4,4,5,4,4,4,5,4,0.0,0.0,3.75,0
Male,Loyal Customer,46,Business travel,Business,8.142354276849835,4,4,4,4,3,5,4,4,4,4,4,5,4,4,0.0,0.0,4.083333333333333,1
Male,Loyal Customer,51,Business travel,Business,8.066521490469993,1,1,1,1,4,5,4,5,5,5,5,4,5,3,0.0,0.0,3.9166666666666665,1
Female,Loyal Customer,65,Personal Travel,Eco,6.949856455000773,2,4,2,2,4,5,4,2,2,2,2,5,2,5,4.718498871295094,4.465908118654584,3.0833333333333335,0
Male,Loyal Customer,68,Personal Travel,Eco,6.249975242259483,1,5,1,5,5,1,5,5,5,5,5,4,5,5,0.0,0.0,3.9166666666666665,0
Male,Loyal Customer,58,Business travel,Business,7.8713112033234065,1,1,1,1,3,5,4,5,5,4,5,4,5,5,0.0,0.0,3.9166666666666665,1
Female,Loyal Customer,51,Business travel,Business,7.851271997109883,1,5,5,5,3,4,3,1,1,1,1,4,1,1,3.8501476017100584,3.6888794541139363,2.1666666666666665,0
Female,Loyal Customer,9,Personal Travel,Eco,7.088408778675395,3,4,3,3,5,3,2,5,1,5,4,4,3,5,0.0,0.0,3.5833333333333335,0
Female,Loyal Customer,45,Business travel,Business,8.15248607578024,2,2,2,2,5,5,5,4,4,4,4,3,4,5,3.1354942159291497,2.772588722239781,3.9166666666666665,1
Male,Loyal Customer,41,Business travel,Business,7.189922170745808,1,2,2,2,3,4,3,1,1,1,1,1,1,4,1.0986122886681098,2.3978952727983707,1.9166666666666667,0
Male,Loyal Customer,23,Personal Travel,Eco,5.030437921392435,0,5,0,2,2,0,2,2,3,4,4,3,4,2,0.6931471805599453,0.0,2.1666666666666665,1
Male,Loyal Customer,59,Personal Travel,Eco,5.099866427824199,2,4,0,3,1,0,1,1,5,3,5,4,4,1,0.0,0.0,2.25,0
Female,Loyal Customer,24,Business travel,Business,7.6586995582682995,2,2,2,2,2,2,2,2,3,2,3,3,4,2,4.820281565605037,4.804021044733257,2.4166666666666665,0
Female,Loyal Customer,21,Business travel,Business,6.1779441140506,2,2,2,2,4,4,4,4,4,2,5,2,3,4,0.0,0.0,3.3333333333333335,1
Male,Loyal Customer,35,Personal Travel,Eco,5.981414211254481,1,4,1,1,4,1,2,4,5,4,5,3,5,4,3.1780538303479458,3.5263605246161616,3.25,0
Female,Loyal Customer,69,Personal Travel,Eco,7.846589975291186,2,5,2,3,3,3,4,1,1,2,1,5,1,3,0.0,0.0,2.3333333333333335,0
Male,Loyal Customer,49,Business travel,Business,7.8009820712577405,2,3,3,3,2,2,3,2,2,3,2,4,2,2,4.110873864173311,4.04305126783455,2.4166666666666665,0
Female,disloyal Customer,17,Business travel,Eco,5.648974238161206,4,2,4,4,4,4,4,4,4,3,3,3,3,4,3.044522437723423,2.3978952727983707,3.6666666666666665,0
Male,Loyal Customer,42,Business travel,Eco,6.272877006546167,2,5,5,5,2,2,2,2,2,3,4,4,4,2,0.0,0.0,2.8333333333333335,0
Female,Loyal Customer,20,Personal Travel,Eco,4.634728988229636,4,3,4,1,3,4,3,3,1,3,5,5,4,3,1.3862943611198906,0.0,3.5,0
Female,Loyal Customer,36,Business travel,Business,6.278521424165844,3,3,3,3,2,1,2,4,4,4,4,4,4,1,0.0,0.0,3.0,1
Female,Loyal Customer,19,Personal Travel,Eco,6.376726947898627,4,5,4,3,5,4,1,5,5,5,4,4,5,5,2.833213344056216,2.1972245773362196,4.25,0
Female,Loyal Customer,31,Business travel,Eco,5.8522024797744745,3,5,5,5,3,3,3,3,1,1,2,4,3,3,0.0,2.1972245773362196,2.8333333333333335,0
Female,Loyal Customer,51,Business travel,Business,7.970049304976135,4,4,4,4,4,5,5,5,5,5,5,5,5,5,0.0,0.0,4.75,1
Female,Loyal Customer,60,Personal Travel,Eco,6.928537818164665,2,4,2,1,1,5,3,4,4,2,4,2,4,5,1.791759469228055,0.0,3.1666666666666665,0
Female,disloyal Customer,25,Business travel,Business,6.376726947898627,1,0,1,3,3,1,3,3,5,2,5,5,5,3,3.4011973816621555,2.3978952727983707,3.0833333333333335,0
Male,Loyal Customer,49,Business travel,Business,5.099866427824199,2,1,5,1,4,2,3,3,3,3,2,1,3,4,0.0,0.0,2.9166666666666665,0
Male,Loyal Customer,58,Business travel,Eco,7.5745584842024805,2,2,2,2,2,2,2,2,2,1,3,1,2,2,1.791759469228055,2.1972245773362196,1.9166666666666667,0
Female,Loyal Customer,7,Personal Travel,Eco,5.823045895483019,1,4,1,2,1,1,1,1,5,4,5,1,1,1,0.0,0.0,1.9166666666666667,0
Male,Loyal Customer,51,Personal Travel,Eco,6.428105272684596,1,5,1,1,3,1,3,3,5,2,4,3,5,3,0.0,0.0,2.8333333333333335,0
Female,Loyal Customer,52,Personal Travel,Eco,6.003887067106539,1,4,1,2,2,4,4,2,2,1,2,5,2,3,0.0,0.0,2.4166666666666665,0
Male,Loyal Customer,40,Business travel,Business,6.666956792429207,4,4,4,4,2,5,4,5,5,5,5,5,5,4,0.0,0.0,4.416666666666667,1
Female,Loyal Customer,46,Business travel,Business,6.75110146893676,5,5,5,5,4,5,1,4,4,4,4,5,4,5,0.0,0.0,4.166666666666667,1
Male,Loyal Customer,51,Business travel,Business,7.928045600874777,3,3,5,3,4,4,5,5,5,5,5,5,5,4,0.0,0.0,4.583333333333333,1
Male,Loyal Customer,26,Business travel,Business,7.791522819150732,1,2,2,2,1,2,1,1,2,1,4,3,3,1,3.258096538021482,2.6390573296152584,1.8333333333333333,0
Male,Loyal Customer,50,Business travel,Eco Plus,6.773080375655535,4,5,5,5,4,4,4,4,2,1,1,5,1,4,0.0,0.0,3.25,1
Female,Loyal Customer,52,Business travel,Business,7.524021415206125,1,1,1,1,2,5,5,4,4,4,4,5,4,3,0.0,0.0,3.5,1
Male,Loyal Customer,34,Business travel,Business,8.059276223305648,1,1,4,1,1,2,5,5,5,5,5,1,5,2,4.394449154672439,4.30406509320417,3.4166666666666665,1
Female,Loyal Customer,14,Personal Travel,Eco,5.4680601411351315,2,5,2,3,2,2,2,2,3,3,5,5,4,2,0.0,0.0,2.8333333333333335,0
Female,Loyal Customer,55,Business travel,Business,5.298317366548036,1,4,4,4,1,1,2,3,5,3,3,2,1,2,5.351858133476067,5.332718793265369,2.3333333333333335,0
Male,Loyal Customer,34,Business travel,Business,7.028201432058005,1,1,1,1,2,5,5,4,4,4,4,4,4,5,0.0,0.0,3.5833333333333335,1
Female,Loyal Customer,33,Business travel,Business,7.860185057472165,0,0,0,2,3,5,4,4,4,4,4,5,4,4,0.0,0.0,3.4166666666666665,1
Male,Loyal Customer,68,Business travel,Eco,5.424950017481403,2,3,3,3,3,2,3,3,4,3,3,4,3,3,0.0,0.0,3.0,0
Female,Loyal Customer,59,Personal Travel,Eco,6.380122536899765,3,5,3,4,2,5,4,1,1,3,1,3,1,5,3.8501476017100584,3.7612001156935624,2.6666666666666665,0
Female,disloyal Customer,26,Business travel,Business,5.37989735354046,4,4,4,1,5,4,5,5,3,2,5,4,4,5,2.772588722239781,3.332204510175204,4.166666666666667,0
Male,Loyal Customer,16,Personal Travel,Eco,5.655991810819852,2,4,2,1,1,2,1,1,3,3,4,4,4,1,0.0,0.0,2.3333333333333335,0
Male,Loyal Customer,67,Personal Travel,Eco,7.10002716662926,4,4,4,3,2,4,2,2,1,5,4,2,4,2,2.1972245773362196,2.6390573296152584,3.0,0
Female,Loyal Customer,48,Business travel,Business,7.490529402060711,2,2,2,2,2,4,4,4,4,5,4,5,4,5,2.4849066497880004,1.6094379124341003,3.75,1
Male,Loyal Customer,78,Business travel,Business,8.235360643753348,2,2,5,2,2,4,4,4,4,4,4,4,4,3,0.0,0.0,3.6666666666666665,1
Male,Loyal Customer,20,Personal Travel,Eco,6.398594934535208,5,1,5,4,2,5,2,2,4,1,4,2,4,2,0.0,1.791759469228055,3.1666666666666665,1
Female,Loyal Customer,42,Business travel,Eco,6.401917196727186,1,2,2,2,3,3,4,1,1,1,1,3,1,3,3.367295829986474,1.9459101490553132,2.0,0
Female,disloyal Customer,35,Business travel,Eco,6.045005314036012,1,0,1,1,5,1,5,5,5,2,5,3,5,5,0.0,1.791759469228055,3.5833333333333335,0
Female,Loyal Customer,45,Business travel,Business,6.530877627725885,4,4,4,4,4,5,5,5,5,5,5,4,5,3,3.4339872044851463,3.091042453358316,4.5,1
Female,Loyal Customer,40,Personal Travel,Eco,5.971261839790462,3,2,3,4,3,3,3,3,1,1,4,4,4,3,0.0,2.1972245773362196,2.9166666666666665,0
Male,Loyal Customer,30,Personal Travel,Eco,6.3818160174060985,4,4,4,1,3,4,3,3,5,4,5,5,4,3,1.6094379124341003,1.3862943611198906,3.9166666666666665,0
Female,Loyal Customer,53,Business travel,Business,6.522092798170152,5,5,5,5,5,4,4,3,2,4,4,4,4,4,5.4638318050256105,5.497168225293202,4.0,1
Male,Loyal Customer,36,Business travel,Eco,7.0707241072602764,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3.4339872044851463,4.189654742026425,3.0833333333333335,0
Male,disloyal Customer,44,Business travel,Business,7.152268856032539,1,1,1,2,3,1,3,3,3,4,5,3,4,3,0.0,0.0,2.8333333333333335,0
Female,Loyal Customer,48,Personal Travel,Eco,7.381501894506707,2,2,1,4,5,2,4,1,1,1,1,4,1,4,0.0,0.0,2.25,0
Male,disloyal Customer,26,Business travel,Business,5.8944028342648505,4,0,4,2,2,4,2,2,4,2,5,3,4,2,1.0986122886681098,0.0,3.1666666666666665,1
Female,Loyal Customer,42,Business travel,Eco,5.3471075307174685,5,4,4,4,4,4,2,5,5,5,5,4,5,3,4.330733340286331,4.356708826689592,4.25,1
Female,Loyal Customer,21,Personal Travel,Eco Plus,7.270312886079025,1,2,1,3,4,1,4,4,2,4,2,4,4,4,4.532599493153256,4.59511985013459,2.9166666666666665,0
Male,Loyal Customer,23,Business travel,Business,7.831220214604293,1,0,0,3,5,0,5,5,1,3,4,4,4,5,0.0,0.0,3.0833333333333335,0
Male,Loyal Customer,62,Personal Travel,Eco Plus,5.921578419643816,3,0,3,1,5,3,5,5,4,5,5,5,3,5,4.290459441148391,4.189654742026425,4.25,0
Female,Loyal Customer,27,Personal Travel,Eco Plus,6.2766434893416445,2,5,5,1,2,5,2,2,4,2,4,5,4,2,1.0986122886681098,0.0,3.25,0
Female,Loyal Customer,55,Business travel,Eco,7.480992162869525,3,2,5,2,3,2,3,3,3,3,3,4,3,4,1.0986122886681098,0.0,3.25,0
Female,Loyal Customer,50,Business travel,Eco,7.24422751560335,1,2,2,2,4,3,4,1,1,1,1,1,1,4,0.0,1.791759469228055,2.0,0
Female,Loyal Customer,56,Personal Travel,Eco,6.230481447578482,3,5,3,1,5,5,4,4,4,3,4,5,4,3,1.3862943611198906,0.6931471805599453,3.9166666666666665,0
Male,disloyal Customer,27,Business travel,Business,6.270988431858299,1,1,1,3,3,1,3,3,5,5,4,3,5,3,0.0,0.0,3.0833333333333335,0
Female,Loyal Customer,51,Business travel,Business,7.818832443803404,4,4,5,4,4,4,5,4,4,4,4,4,4,5,0.0,0.0,4.25,1
Male,Loyal Customer,43,Business travel,Business,7.356918242356021,5,5,5,5,5,5,5,4,4,4,4,4,4,3,2.5649493574615367,0.0,4.333333333333333,1
Male,Loyal Customer,59,Business travel,Business,6.113682179832232,5,5,5,5,5,5,5,2,2,2,2,5,2,3,0.6931471805599453,0.0,3.5833333333333335,1
Female,disloyal Customer,50,Business travel,Eco,6.448889394146858,3,4,4,3,5,4,1,5,3,4,4,4,3,5,2.3978952727983707,0.0,3.75,0
Female,disloyal Customer,24,Business travel,Eco,6.741700694652055,2,2,2,1,1,2,1,1,4,4,5,3,4,1,0.0,0.0,2.5,0
Female,Loyal Customer,54,Business travel,Eco,7.022868086082641,3,3,3,3,2,4,4,3,3,3,3,4,3,3,0.0,0.0,3.1666666666666665,0
Male,disloyal Customer,38,Business travel,Eco,5.991464547107982,2,5,1,2,1,1,1,1,4,1,5,3,3,1,3.7612001156935624,3.367295829986474,2.0,0
Female,Loyal Customer,15,Personal Travel,Eco,7.636752112435779,4,5,4,3,4,4,4,4,3,4,3,4,4,4,1.6094379124341003,2.70805020110221,3.8333333333333335,0
Female,Loyal Customer,60,Business travel,Business,5.5254529391317835,0,0,0,2,4,4,5,4,4,5,5,4,4,3,0.0,0.0,3.5,1
Female,Loyal Customer,17,Personal Travel,Eco,6.921658184151129,3,4,3,3,1,3,1,1,1,1,4,1,3,1,0.0,0.0,1.9166666666666667,0
Male,Loyal Customer,30,Business travel,Eco Plus,6.7661917146603505,5,2,4,2,5,5,5,5,3,3,2,5,5,5,0.0,0.0,4.333333333333333,1
Male,Loyal Customer,51,Business travel,Business,7.696212639346407,1,1,1,1,2,5,5,5,5,5,5,4,5,4,0.0,0.0,3.9166666666666665,1
Male,Loyal Customer,31,Business travel,Business,6.872128101338986,2,2,2,2,5,5,5,5,1,5,3,3,1,5,0.0,0.0,3.5,1
Male,Loyal Customer,70,Business travel,Eco,7.902857191280582,3,1,1,1,3,3,3,4,5,3,3,3,1,3,1.0986122886681098,2.995732273553991,2.9166666666666665,0
Female,Loyal Customer,52,Business travel,Business,8.157370441186774,2,4,2,2,1,5,2,5,5,5,5,3,5,4,0.0,0.0,3.6666666666666665,1
Female,Loyal Customer,56,Business travel,Eco,6.974478911025045,3,5,1,1,3,2,3,3,3,3,3,2,3,3,0.0,0.0,2.6666666666666665,0
Male,Loyal Customer,10,Personal Travel,Eco,6.313548046277095,3,3,3,3,3,3,5,3,4,5,4,2,4,3,0.0,0.0,3.5,0
Female,Loyal Customer,50,Business travel,Eco,6.580639137284949,4,4,4,4,2,2,5,4,4,4,4,2,4,1,0.0,0.0,3.3333333333333335,1
Male,Loyal Customer,25,Business travel,Business,5.924255797414532,1,1,2,1,4,4,4,4,4,5,4,2,4,4,0.6931471805599453,1.3862943611198906,3.5,1
Male,Loyal Customer,37,Business travel,Business,5.58724865840025,3,1,1,1,2,4,4,3,3,3,3,3,3,1,4.51085950651685,4.454347296253507,2.75,0
Female,Loyal Customer,68,Personal Travel,Eco,7.8582541821860294,2,4,2,4,2,4,2,1,1,2,1,3,1,3,0.0,0.0,2.0,0
